,State,Year,Grade,Population,Incidences,Killed,Wounded,Total_Injured_Killed_Victims,Number_of_Shots_Fired
0,AK,2012,F,730825,1.0,0.0,1.0,1.0,0.0
1,AK,2013,F,736760,0.0,0.0,0.0,0.0,0.0
2,AK,2014,F,736759,0.0,0.0,0.0,0.0,0.0
3,AK,2015,F,737979,1.0,0.0,2.0,2.0,0.0
4,AK,2016,F,741522,1.0,0.0,1.0,1.0,1.0
5,AK,2017,F,739795,0.0,0.0,0.0,0.0,0.0
6,AK,2018,F,737438,1.0,0.0,1.0,1.0,1.0
7,AL,2012,D,4813946,1.0,0.0,0.0,0.0,0.0
8,AL,2013,D-,4827660,1.0,0.0,0.0,0.0,1.0
9,AL,2014,F,4840037,0.0,0.0,0.0,0.0,0.0
10,AL,2015,F,4850858,1.0,0.0,1.0,1.0,0.0
11,AL,2016,F,4860545,2.0,0.0,2.0,2.0,1.0
12,AL,2017,F,4874747,2.0,0.0,0.0,0.0,2.0
13,AL,2018,F,4887871,3.0,1.0,2.0,3.0,1.0
14,AR,2012,F,2949208,0.0,0.0,0.0,0.0,0.0
15,AR,2013,F,2956780,0.0,0.0,0.0,0.0,0.0
16,AR,2014,F,2964800,0.0,0.0,0.0,0.0,0.0
17,AR,2015,F,2975626,0.0,0.0,0.0,0.0,0.0
18,AR,2016,F,2988231,0.0,0.0,0.0,0.0,0.0
19,AR,2017,F,3004279,1.0,0.0,1.0,1.0,0.0
20,AR,2018,F,3013825,1.0,0.0,0.0,0.0,1.0
21,AZ,2012,F,6544211,0.0,0.0,0.0,0.0,0.0
22,AZ,2013,F,6616124,0.0,0.0,0.0,0.0,0.0
23,AZ,2014,F,6706435,1.0,0.0,0.0,0.0,0.0
24,AZ,2015,F,6802262,1.0,1.0,0.0,1.0,1.0
25,AZ,2016,F,6908642,1.0,2.0,0.0,2.0,1.0
26,AZ,2017,F,7016270,0.0,0.0,0.0,0.0,0.0
27,AZ,2018,F,7171646,1.0,1.0,0.0,1.0,1.0
28,CA,2012,A-,38019006,0.0,0.0,0.0,0.0,0.0
29,CA,2013,A-,38347383,4.0,1.0,6.0,7.0,4.0
30,CA,2014,A-,38701278,1.0,0.0,1.0,1.0,0.0
31,CA,2015,A-,39032444,1.0,1.0,0.0,1.0,0.0
32,CA,2016,A,39296476,1.0,0.0,4.0,4.0,0.0
33,CA,2017,A,39536653,6.0,9.0,26.0,35.0,1.0
34,CA,2018,A,39557045,6.0,0.0,9.0,9.0,5.0
35,CO,2012,D,5186330,0.0,0.0,0.0,0.0,0.0
36,CO,2013,C,5262556,1.0,2.0,0.0,2.0,1.0
37,CO,2014,C-,5342311,0.0,0.0,0.0,0.0,0.0
38,CO,2015,C-,5440445,0.0,0.0,0.0,0.0,0.0
39,CO,2016,C,5530105,3.0,2.0,1.0,3.0,3.0
40,CO,2017,C,5607154,1.0,0.0,3.0,3.0,0.0
41,CO,2018,C,5695564,1.0,0.0,1.0,1.0,1.0
42,CT,2012,B,3597705,1.0,28.0,2.0,30.0,0.0
43,CT,2013,A-,3602470,0.0,0.0,0.0,0.0,0.0
44,CT,2014,A-,3600188,1.0,0.0,1.0,1.0,0.0
45,CT,2015,A-,3593862,1.0,1.0,3.0,4.0,0.0
46,CT,2016,A-,3587685,1.0,0.0,1.0,1.0,0.0
47,CT,2017,A-,3588184,0.0,0.0,0.0,0.0,0.0
48,CT,2018,A-,3572665,0.0,0.0,0.0,0.0,0.0
49,DE,2012,C,916868,0.0,0.0,0.0,0.0,0.0
50,DE,2013,B-,925114,0.0,0.0,0.0,0.0,0.0
51,DE,2014,B-,934805,0.0,0.0,0.0,0.0,0.0
52,DE,2015,B,944107,0.0,0.0,0.0,0.0,0.0
53,DE,2016,B,952698,1.0,0.0,0.0,0.0,1.0
54,DE,2017,B,961939,0.0,0.0,0.0,0.0,0.0
55,DE,2018,B,967171,1.0,1.0,0.0,1.0,0.0
56,FL,2012,D-,19341327,1.0,2.0,0.0,2.0,0.0
57,FL,2013,F,19584927,5.0,3.0,4.0,7.0,4.0
58,FL,2014,F,19897747,4.0,3.0,2.0,5.0,2.0
59,FL,2015,F,20268567,4.0,0.0,6.0,6.0,3.0
60,FL,2016,F,20656589,2.0,0.0,1.0,1.0,2.0
61,FL,2017,F,20984400,2.0,1.0,0.0,1.0,2.0
62,FL,2018,C-,21299325,6.0,18.0,23.0,41.0,3.0
63,GA,2012,D,9911171,1.0,1.0,0.0,1.0,1.0
64,GA,2013,F,9981773,4.0,0.0,3.0,3.0,2.0
65,GA,2014,F,10083850,2.0,1.0,0.0,1.0,0.0
66,GA,2015,F,10199533,3.0,0.0,1.0,1.0,3.0
67,GA,2016,F,10313620,1.0,0.0,1.0,1.0,1.0
68,GA,2017,F,10429379,3.0,0.0,3.0,3.0,3.0
69,GA,2018,F,10519475,4.0,1.0,3.0,4.0,3.0
70,HI,2012,B,1392772,0.0,0.0,0.0,0.0,0.0
71,HI,2013,B+,1408038,0.0,0.0,0.0,0.0,0.0
72,HI,2014,B+,1417710,1.0,0.0,2.0,2.0,1.0
73,HI,2015,B+,1426320,0.0,0.0,0.0,0.0,0.0
74,HI,2016,A-,1428683,0.0,0.0,0.0,0.0,0.0
75,HI,2017,A-,1427538,0.0,0.0,0.0,0.0,0.0
76,HI,2018,A-,1420491,0.0,0.0,0.0,0.0,0.0
77,IA,2012,C-,3074386,0.0,0.0,0.0,0.0,0.0
78,IA,2013,C-,3089876,1.0,1.0,0.0,1.0,1.0
79,IA,2014,C-,3105563,2.0,0.0,2.0,2.0,1.0
80,IA,2015,C-,3118473,0.0,0.0,0.0,0.0,0.0
81,IA,2016,C,3130869,1.0,1.0,0.0,1.0,1.0
82,IA,2017,C-,3145711,0.0,0.0,0.0,0.0,0.0
83,IA,2018,C,3156145,2.0,0.0,0.0,0.0,2.0
84,ID,2012,F,1594673,0.0,0.0,0.0,0.0,0.0
85,ID,2013,F,1610187,0.0,0.0,0.0,0.0,0.0
86,ID,2014,F,1630391,0.0,0.0,0.0,0.0,0.0
87,ID,2015,F,1649324,0.0,0.0,0.0,0.0,0.0
88,ID,2016,F,1680026,1.0,0.0,0.0,0.0,1.0
89,ID,2017,F,1716943,0.0,0.0,0.0,0.0,0.0
90,ID,2018,F,1754208,0.0,0.0,0.0,0.0,0.0
91,IL,2012,B-,12878494,2.0,1.0,0.0,1.0,0.0
92,IL,2013,B,12890403,1.0,0.0,1.0,1.0,1.0
93,IL,2014,B+,12882438,1.0,0.0,1.0,1.0,1.0
94,IL,2015,B+,12862051,0.0,0.0,0.0,0.0,0.0
95,IL,2016,B+,12835726,2.0,1.0,1.0,2.0,2.0
96,IL,2017,B+,12802023,2.0,0.0,3.0,3.0,0.0
97,IL,2018,B+,12741080,3.0,0.0,7.0,7.0,0.0
98,IN,2012,F,6535665,0.0,0.0,0.0,0.0,0.0
99,IN,2013,D-,6567484,0.0,0.0,0.0,0.0,0.0
100,IN,2014,D-,6593182,1.0,2.0,0.0,2.0,0.0
101,IN,2015,D,6610596,0.0,0.0,0.0,0.0,0.0
102,IN,2016,D-,6634007,2.0,0.0,1.0,1.0,2.0
103,IN,2017,D-,6666818,0.0,0.0,0.0,0.0,0.0
104,IN,2018,D-,6691878,2.0,1.0,2.0,3.0,1.0
105,KS,2012,F,2885316,0.0,0.0,0.0,0.0,0.0
106,KS,2013,F,2892900,0.0,0.0,0.0,0.0,0.0
107,KS,2014,F,2899553,0.0,0.0,0.0,0.0,0.0
108,KS,2015,F,2905789,0.0,0.0,0.0,0.0,0.0
109,KS,2016,F,2907731,1.0,0.0,2.0,2.0,1.0
110,KS,2017,F,2913123,0.0,0.0,0.0,0.0,0.0
111,KS,2018,F,2911505,1.0,1.0,1.0,2.0,0.0
112,KY,2012,F,4383673,0.0,0.0,0.0,0.0,0.0
113,KY,2013,F,4399121,0.0,0.0,0.0,0.0,0.0
114,KY,2014,F,4410415,1.0,0.0,1.0,1.0,0.0
115,KY,2015,F,4422057,0.0,0.0,0.0,0.0,0.0
116,KY,2016,F,4436113,0.0,0.0,0.0,0.0,0.0
117,KY,2017,F,4454189,0.0,0.0,0.0,0.0,0.0
118,KY,2018,F,4468402,4.0,3.0,22.0,25.0,2.0
119,LA,2012,F,4602681,0.0,0.0,0.0,0.0,0.0
120,LA,2013,F,4626795,0.0,0.0,0.0,0.0,0.0
121,LA,2014,F,4648797,1.0,0.0,1.0,1.0,0.0
122,LA,2015,F,4671211,1.0,0.0,1.0,1.0,0.0
123,LA,2016,F,4686157,0.0,0.0,0.0,0.0,0.0
124,LA,2017,F,4684333,3.0,2.0,1.0,3.0,2.0
125,LA,2018,F,4659978,1.0,0.0,0.0,0.0,0.0
126,MA,2012,A-,6659627,0.0,0.0,0.0,0.0,0.0
127,MA,2013,B+,6711138,0.0,0.0,0.0,0.0,0.0
128,MA,2014,A-,6757925,0.0,0.0,0.0,0.0,0.0
129,MA,2015,A-,6794002,0.0,0.0,0.0,0.0,0.0
130,MA,2016,A-,6823721,1.0,1.0,3.0,4.0,0.0
131,MA,2017,A-,6859819,0.0,0.0,0.0,0.0,0.0
132,MA,2018,A-,6902149,0.0,0.0,0.0,0.0,0.0
133,MD,2012,B,5891680,1.0,0.0,1.0,1.0,1.0
134,MD,2013,A-,5932654,0.0,0.0,0.0,0.0,0.0
135,MD,2014,A-,5970245,1.0,0.0,0.0,0.0,0.0
136,MD,2015,A-,6000561,1.0,0.0,2.0,2.0,1.0
137,MD,2016,A-,6024752,1.0,1.0,1.0,2.0,1.0
138,MD,2017,A-,6052177,0.0,0.0,0.0,0.0,0.0
139,MD,2018,A-,6042718,4.0,3.0,2.0,5.0,2.0
140,ME,2012,F,1328101,0.0,0.0,0.0,0.0,0.0
141,ME,2013,F,1327975,1.0,1.0,0.0,1.0,1.0
142,ME,2014,F,1328903,1.0,1.0,0.0,1.0,1.0
143,ME,2015,F,1327787,0.0,0.0,0.0,0.0,0.0
144,ME,2016,F,1330232,0.0,0.0,0.0,0.0,0.0
145,ME,2017,F,1335907,0.0,0.0,0.0,0.0,0.0
146,ME,2018,F,1338404,0.0,0.0,0.0,0.0,0.0
147,MI,2012,C,9886610,0.0,0.0,0.0,0.0,0.0
148,MI,2013,C,9899219,3.0,2.0,2.0,4.0,1.0
149,MI,2014,C,9914675,2.0,2.0,0.0,2.0,1.0
150,MI,2015,C,9918170,1.0,0.0,7.0,7.0,0.0
151,MI,2016,C,9933445,3.0,0.0,5.0,5.0,2.0
152,MI,2017,C,9962311,2.0,0.0,2.0,2.0,1.0
153,MI,2018,C,9995915,5.0,0.0,1.0,1.0,2.0
154,MN,2012,C,5377695,0.0,0.0,0.0,0.0,0.0
155,MN,2013,C,5416074,0.0,0.0,0.0,0.0,0.0
156,MN,2014,C,5452649,0.0,0.0,0.0,0.0,0.0
157,MN,2015,C,5483238,1.0,1.0,0.0,1.0,1.0
158,MN,2016,C+,5525050,1.0,0.0,0.0,0.0,1.0
159,MN,2017,C+,5576606,1.0,1.0,0.0,1.0,1.0
160,MN,2018,C+,5611179,1.0,0.0,0.0,0.0,1.0
161,MO,2012,F,6023267,0.0,0.0,0.0,0.0,0.0
162,MO,2013,F,6041142,0.0,0.0,0.0,0.0,0.0
163,MO,2014,F,6058014,1.0,1.0,0.0,1.0,1.0
164,MO,2015,F,6072640,1.0,0.0,1.0,1.0,0.0
165,MO,2016,F,6091176,2.0,1.0,2.0,3.0,2.0
166,MO,2017,F,6113532,1.0,1.0,0.0,1.0,1.0
167,MO,2018,F,6126452,5.0,1.0,4.0,5.0,3.0
168,MS,2012,F,2982963,0.0,0.0,0.0,0.0,0.0
169,MS,2013,F,2987721,1.0,1.0,2.0,3.0,1.0
170,MS,2014,F,2988578,0.0,0.0,0.0,0.0,0.0
171,MS,2015,F,2985297,0.0,0.0,0.0,0.0,0.0
172,MS,2016,F,2985415,1.0,0.0,1.0,1.0,0.0
173,MS,2017,F,2984100,0.0,0.0,0.0,0.0,0.0
174,MS,2018,F,2986530,1.0,0.0,0.0,0.0,1.0
175,MT,2012,F,1003522,0.0,0.0,0.0,0.0,0.0
176,MT,2013,F,1011921,0.0,0.0,0.0,0.0,0.0
177,MT,2014,F,1019931,0.0,0.0,0.0,0.0,0.0
178,MT,2015,F,1028317,0.0,0.0,0.0,0.0,0.0
179,MT,2016,F,1038656,0.0,0.0,0.0,0.0,0.0
180,MT,2017,F,1050493,0.0,0.0,0.0,0.0,0.0
181,MT,2018,F,1062305,2.0,0.0,2.0,2.0,1.0
182,NC,2012,F,9755299,1.0,1.0,0.0,1.0,0.0
183,NC,2013,F,9849812,2.0,1.0,2.0,3.0,1.0
184,NC,2014,F,9941160,4.0,0.0,2.0,2.0,3.0
185,NC,2015,F,10041769,1.0,0.0,1.0,1.0,1.0
186,NC,2016,D-,10156689,0.0,0.0,0.0,0.0,0.0
187,NC,2017,D-,10273419,1.0,0.0,0.0,0.0,1.0
188,NC,2018,D,10383620,3.0,1.0,0.0,1.0,0.0
189,ND,2012,F,701380,1.0,0.0,1.0,1.0,1.0
190,ND,2013,F,722908,0.0,0.0,0.0,0.0,0.0
191,ND,2014,F,738658,0.0,0.0,0.0,0.0,0.0
192,ND,2015,F,754859,0.0,0.0,0.0,0.0,0.0
193,ND,2016,F,755548,0.0,0.0,0.0,0.0,0.0
194,ND,2017,F,755393,0.0,0.0,0.0,0.0,0.0
195,ND,2018,F,760077,0.0,0.0,0.0,0.0,0.0
196,NE,2012,D,1854862,0.0,0.0,0.0,0.0,0.0
197,NE,2013,D,1867414,0.0,0.0,0.0,0.0,0.0
198,NE,2014,D,1880920,0.0,0.0,0.0,0.0,0.0
199,NE,2015,D,1893564,1.0,0.0,0.0,0.0,0.0
200,NE,2016,D,1907603,0.0,0.0,0.0,0.0,0.0
201,NE,2017,D,1920076,1.0,1.0,1.0,2.0,0.0
202,NE,2018,C-,1929268,0.0,0.0,0.0,0.0,0.0
203,NH,2012,D,1320923,1.0,0.0,1.0,1.0,1.0
204,NH,2013,D-,1322622,1.0,0.0,0.0,0.0,0.0
205,NH,2014,D-,1328684,1.0,0.0,0.0,0.0,1.0
206,NH,2015,D,1330134,0.0,0.0,0.0,0.0,0.0
207,NH,2016,D,1335015,0.0,0.0,0.0,0.0,0.0
208,NH,2017,F,1342795,0.0,0.0,0.0,0.0,0.0
209,NH,2018,F,1356458,1.0,0.0,1.0,1.0,0.0
210,NJ,2012,A-,8882095,0.0,0.0,0.0,0.0,0.0
211,NJ,2013,A,8913735,0.0,0.0,0.0,0.0,0.0
212,NJ,2014,A-,8943010,1.0,0.0,0.0,0.0,0.0
213,NJ,2015,A-,8960001,0.0,0.0,0.0,0.0,0.0
214,NJ,2016,A-,8978416,0.0,0.0,0.0,0.0,0.0
215,NJ,2017,A-,9005644,0.0,0.0,0.0,0.0,0.0
216,NJ,2018,A,8908520,0.0,0.0,0.0,0.0,0.0
217,NM,2012,F,2083590,0.0,0.0,0.0,0.0,0.0
218,NM,2013,F,2085161,1.0,1.0,0.0,1.0,1.0
219,NM,2014,F,2083207,1.0,0.0,2.0,2.0,1.0
220,NM,2015,F,2082264,0.0,0.0,0.0,0.0,0.0
221,NM,2016,F,2085432,0.0,0.0,0.0,0.0,0.0
222,NM,2017,F,2088070,1.0,3.0,0.0,3.0,0.0
223,NM,2018,F,2095428,0.0,0.0,0.0,0.0,0.0
224,NV,2012,F,2752410,0.0,0.0,0.0,0.0,0.0
225,NV,2013,F,2786547,1.0,2.0,2.0,4.0,1.0
226,NV,2014,F,2831730,0.0,0.0,0.0,0.0,0.0
227,NV,2015,F,2883057,1.0,0.0,0.0,0.0,1.0
228,NV,2016,C-,2939254,1.0,0.0,1.0,1.0,1.0
229,NV,2017,D,2998039,0.0,0.0,0.0,0.0,0.0
230,NV,2018,D,3034392,1.0,1.0,0.0,1.0,0.0
231,NY,2012,B,19625409,0.0,0.0,0.0,0.0,0.0
232,NY,2013,A-,19712514,0.0,0.0,0.0,0.0,0.0
233,NY,2014,A-,19773580,0.0,0.0,0.0,0.0,0.0
234,NY,2015,A-,19819347,0.0,0.0,0.0,0.0,0.0
235,NY,2016,A-,19836286,0.0,0.0,0.0,0.0,0.0
236,NY,2017,A-,19849399,0.0,0.0,0.0,0.0,0.0
237,NY,2018,A-,19542209,3.0,1.0,1.0,2.0,1.0
238,OH,2012,D,11546969,1.0,3.0,3.0,6.0,0.0
239,OH,2013,D,11567845,1.0,0.0,1.0,1.0,1.0
240,OH,2014,D,11593741,2.0,0.0,2.0,2.0,1.0
241,OH,2015,D,11606027,1.0,1.0,1.0,2.0,0.0
242,OH,2016,D,11622554,3.0,0.0,8.0,8.0,0.0
243,OH,2017,D,11658609,3.0,0.0,2.0,2.0,1.0
244,OH,2018,D,11689442,3.0,2.0,0.0,2.0,2.0
245,OK,2012,F,3815298,1.0,1.0,0.0,1.0,1.0
246,OK,2013,F,3849840,0.0,0.0,0.0,0.0,0.0
247,OK,2014,F,3875008,0.0,0.0,0.0,0.0,0.0
248,OK,2015,F,3904353,0.0,0.0,0.0,0.0,0.0
249,OK,2016,F,3921207,1.0,0.0,1.0,1.0,1.0
250,OK,2017,F,3930864,1.0,1.0,0.0,1.0,0.0
251,OK,2018,F,3943079,0.0,0.0,0.0,0.0,0.0
252,OR,2012,D,3893920,0.0,0.0,0.0,0.0,0.0
253,OR,2013,D+,3919664,0.0,0.0,0.0,0.0,0.0
254,OR,2014,D+,3960673,3.0,3.0,4.0,7.0,2.0
255,OR,2015,C,4016537,0.0,0.0,0.0,0.0,0.0
256,OR,2016,C,4085989,0.0,0.0,0.0,0.0,0.0
257,OR,2017,C,4142776,0.0,0.0,0.0,0.0,0.0
258,OR,2018,C+,4190713,2.0,1.0,0.0,1.0,1.0
259,PA,2012,C,12768034,0.0,0.0,0.0,0.0,0.0
260,PA,2013,C,12778450,1.0,0.0,3.0,3.0,0.0
261,PA,2014,C,12790341,3.0,1.0,2.0,3.0,1.0
262,PA,2015,C,12791124,0.0,0.0,0.0,0.0,0.0
263,PA,2016,C,12787085,2.0,0.0,1.0,1.0,2.0
264,PA,2017,C,12805537,2.0,1.0,1.0,2.0,1.0
265,PA,2018,C+,12807060,3.0,2.0,0.0,2.0,0.0
266,RI,2012,C-,1052761,0.0,0.0,0.0,0.0,0.0
267,RI,2013,B-,1052784,0.0,0.0,0.0,0.0,0.0
268,RI,2014,B+,1054782,0.0,0.0,0.0,0.0,0.0
269,RI,2015,B+,1055916,0.0,0.0,0.0,0.0,0.0
270,RI,2016,B+,1057566,0.0,0.0,0.0,0.0,0.0
271,RI,2017,B+,1059639,0.0,0.0,0.0,0.0,0.0
272,RI,2018,B+,1057315,1.0,1.0,1.0,2.0,0.0
273,SC,2012,D-,4719009,0.0,0.0,0.0,0.0,0.0
274,SC,2013,F,4765862,0.0,0.0,0.0,0.0,0.0
275,SC,2014,F,4824758,0.0,0.0,0.0,0.0,0.0
276,SC,2015,F,4892423,1.0,0.0,0.0,0.0,0.0
277,SC,2016,F,4959822,2.0,2.0,3.0,5.0,1.0
278,SC,2017,F,5024369,2.0,0.0,4.0,4.0,1.0
279,SC,2018,F,5084127,1.0,0.0,0.0,0.0,1.0
280,SD,2012,F,832576,0.0,0.0,0.0,0.0,0.0
281,SD,2013,F,842513,0.0,0.0,0.0,0.0,0.0
282,SD,2014,F,849455,0.0,0.0,0.0,0.0,0.0
283,SD,2015,F,854036,1.0,0.0,1.0,1.0,1.0
284,SD,2016,F,861542,0.0,0.0,0.0,0.0,0.0
285,SD,2017,F,869666,0.0,0.0,0.0,0.0,0.0
286,SD,2018,F,882235,1.0,0.0,1.0,1.0,0.0
287,TN,2012,F,6450632,1.0,0.0,0.0,0.0,0.0
288,TN,2013,F,6490795,2.0,1.0,0.0,1.0,2.0
289,TN,2014,F,6540007,2.0,0.0,2.0,2.0,2.0
290,TN,2015,F,6590726,0.0,0.0,0.0,0.0,0.0
291,TN,2016,F,6649404,0.0,0.0,0.0,0.0,0.0
292,TN,2017,D-,6715984,1.0,0.0,0.0,0.0,0.0
293,TN,2018,D-,6770010,6.0,2.0,5.0,7.0,4.0
294,TX,2012,F,26078327,3.0,1.0,1.0,2.0,3.0
295,TX,2013,F,26479279,2.0,2.0,0.0,2.0,2.0
296,TX,2014,F,26954436,0.0,0.0,0.0,0.0,0.0
297,TX,2015,F,27454880,8.0,4.0,1.0,5.0,5.0
298,TX,2016,F,27904862,4.0,1.0,6.0,7.0,2.0
299,TX,2017,F,28304596,3.0,1.0,2.0,3.0,3.0
300,TX,2018,F,28701845,6.0,12.0,16.0,28.0,2.0
301,UT,2012,F,2854222,0.0,0.0,0.0,0.0,0.0
302,UT,2013,F,2899961,0.0,0.0,0.0,0.0,0.0
303,UT,2014,F,2938671,2.0,0.0,2.0,2.0,2.0
304,UT,2015,F,2984917,0.0,0.0,0.0,0.0,0.0
305,UT,2016,F,3044321,2.0,0.0,1.0,1.0,2.0
306,UT,2017,F,3101833,1.0,1.0,1.0,2.0,0.0
307,UT,2018,D-,3161105,0.0,0.0,0.0,0.0,0.0
308,VA,2012,D,8188656,0.0,0.0,0.0,0.0,0.0
309,VA,2013,D,8261689,0.0,0.0,0.0,0.0,0.0
310,VA,2014,D,8316902,1.0,2.0,1.0,3.0,0.0
311,VA,2015,D,8366767,0.0,0.0,0.0,0.0,0.0
312,VA,2016,D,8414380,0.0,0.0,0.0,0.0,0.0
313,VA,2017,D,8470020,1.0,1.0,0.0,1.0,1.0
314,VA,2018,D,8517685,4.0,0.0,3.0,3.0,3.0
315,VT,2012,F,625606,0.0,0.0,0.0,0.0,0.0
316,VT,2013,F,626044,0.0,0.0,0.0,0.0,0.0
317,VT,2014,F,625665,0.0,0.0,0.0,0.0,0.0
318,VT,2015,F,624455,0.0,0.0,0.0,0.0,0.0
319,VT,2016,F,623354,0.0,0.0,0.0,0.0,0.0
320,VT,2017,F,623657,0.0,0.0,0.0,0.0,0.0
321,VT,2018,D+,626299,1.0,1.0,0.0,1.0,0.0
322,WA,2012,C,6890899,1.0,0.0,1.0,1.0,1.0
323,WA,2013,C,6963410,0.0,0.0,0.0,0.0,0.0
324,WA,2014,B-,7046931,2.0,5.0,2.0,7.0,0.0
325,WA,2015,B-,7152818,1.0,0.0,0.0,0.0,1.0
326,WA,2016,B,7280934,0.0,0.0,0.0,0.0,0.0
327,WA,2017,B,7405743,2.0,1.0,3.0,4.0,1.0
328,WA,2018,B+,7535591,5.0,1.0,1.0,2.0,3.0
329,WI,2012,C-,5721075,0.0,0.0,0.0,0.0,0.0
330,WI,2013,C-,5736673,0.0,0.0,0.0,0.0,0.0
331,WI,2014,C-,5751272,1.0,1.0,0.0,1.0,0.0
332,WI,2015,D,5759744,1.0,0.0,3.0,3.0,0.0
333,WI,2016,C-,5772917,1.0,1.0,2.0,3.0,1.0
334,WI,2017,C-,5795483,1.0,0.0,1.0,1.0,0.0
335,WI,2018,C-,5813568,0.0,0.0,0.0,0.0,0.0
336,WV,2012,F,1855360,0.0,0.0,0.0,0.0,0.0
337,WV,2013,F,1852333,0.0,0.0,0.0,0.0,0.0
338,WV,2014,F,1847624,0.0,0.0,0.0,0.0,0.0
339,WV,2015,D-,1839767,0.0,0.0,0.0,0.0,0.0
340,WV,2016,F,1828637,0.0,0.0,0.0,0.0,0.0
341,WV,2017,F,1815857,0.0,0.0,0.0,0.0,0.0
342,WV,2018,F,1805832,1.0,0.0,0.0,0.0,1.0
343,WY,2012,F,576608,0.0,0.0,0.0,0.0,0.0
344,WY,2013,F,582341,0.0,0.0,0.0,0.0,0.0
345,WY,2014,F,583334,0.0,0.0,0.0,0.0,0.0
346,WY,2015,F,586102,0.0,0.0,0.0,0.0,0.0
347,WY,2016,F,584910,0.0,0.0,0.0,0.0,0.0
348,WY,2017,F,579315,0.0,0.0,0.0,0.0,0.0
349,WY,2018,F,577737,0.0,0.0,0.0,0.0,0.0
